sep=;
OFA-1-084369-1;2024-07-05;N/A;TMOL;1;100;110;0;;
OFA-1-084713-1;2024-06-26;N/A;SSE;2;100;232;0;;
OFA-1-084773-1;2024-06-28;N/A;SFO;2;100;16;0;;
OFA-1-084831-1;2024-07-02;N/A;SFO;2;100;153;4;{"d24":4};
OFA-1-084669-1;2024-07-05;DSO;TTMI;1;100;110;17;{"d00":1,"d11":2,"d13":14};Autre: piece non trovalisee
OFA-1-084714-1;2024-06-26;N/A;SFO;2;101;162;0;;
OFA-1-084773-1;2024-06-28;N/A;TLBL;2;100;50;0;;
OFA-1-084831-1;2024-07-02;N/A;SFO;2;101;13;0;;
OFA-1-084293-1;2024-07-05;TFBR;TCEM;2;20;64;2;{"d14":1,"d17":1};
OFA-1-084713-1;2024-06-26;N/A;SFO;2;100;200;12;{"d26":2,"d13":6,"d15":4};
OFA-1-084831-1;2024-07-02;N/A;VBO;2;100;222;4;{"d24":2,"d01":1,"d20":1};
OFA-1-084293-1;2024-07-05;TMLA;TJPR;1;20;54;0;;
OFA-1-084773-1;2024-06-26;N/A;MSZ;1;50;1058;0;;
OFA-1-084827-1;2024-06-28;N/A;TKSZ;1;50;47;0;;
OFA-1-084831-1;2024-07-02;N/A;VBO;2;101;26;0;;
OFA-1-084826-1;2024-07-05;N/A;TFGO;1;50;47;0;;
OFA-1-082144-1;2023-11-16;N/A;TMSH;1;20;171;0;;
OFA-1-084713-1;2024-06-26;TNME;TKSZ;1;100;90;1;{"d24":1};
OFA-1-084335-1;2024-06-28;N/A;MSZ;1;50;47;0;;
OFA-1-084827-1;2024-07-02;N/A;VBO;2;100;17;0;;
OFA-1-085068-1;2024-07-05;N/A;TJPR;1;20;16;0;;
OFA-1-084713-1;2024-06-26;N/A;TMSH;1;100;80;0;;
OFA-1-084831-1;2024-06-28;N/A;TMSH;1;20;115;0;;
OFA-1-084335-1;2024-07-02;N/A;VBO;2;100;225;9;{"d24":3,"d01":2,"d10":2,"d15":1,"d19":1};
OFA-1-085068-1;2024-07-05;N/A;TCEM;1;50;34;0;;
OFA-1-084713-1;2024-06-26;TNME;TCGR;1;100;177;4;{"d24":2,"d15":2};
OFA-1-084831-1;2024-06-29;KOU;TFAM;0;20;124;0;;
OFA-1-083621-2;2024-07-02;N/A;TJPR;1;20;47;0;;
OFA-1-081680-1;2023-10-19;N/A;TMSZ;1;70;882;0;;
OFA-1-084773-1;2024-06-26;N/A;MSZ;1;60;1058;0;;
OFA-1-084831-1;2024-06-29;AMA;TCEM;0;20;72;3;{"d01":1,"d02":1,"d17":1};
OFA-1-083621-1;2024-07-02;N/A;TTMI;1;20;110;0;;
OFA-1-082058-1;2023-11-17;TMBO;TMSH;1;20;54;3;{"d00":3};Trou central non formé
OFA-1-081188-1;2023-11-20;N/A;VBO;2;90;375;0;;
OFA-1-081694-1;2023-11-21;N/A;VBO;2;90;478;0;;ofa splité car, 20 pcs hors tolérance A210.
OFA-1-082194-1;2023-11-21;N/A;TMOL;1;20;120;0;;
OFA-1-082143-1;2023-11-22;N/A;TFAM;2;70;731;0;;
OFA-1-082003-1;2023-11-23;TAGE;TJHE;0;20;51;1;{"d26":1};
OFA-1-082145-1;2023-11-23;KOU;TMOL;1;20;53;2;{"d26":2};
OFA-1-081157-1;2023-11-24;KOU;TMSZ;1;80;28;15;{"d00":6,"d10":2,"d11":1,"d13":5,"d15":1};CHANFREIN
OFA-1-082145-1;2023-11-27;N/A;XXX;2;60;866;0;;
OFA-1-082145-1;2023-11-27;TYBO;TFAM;1;80;0;10;{"d00":1,"d11":3,"d13":5,"d23":1};pcs deformee
OFA-1-082200-1;2023-11-28;THKI;TBGO;1;80;317;11;{"d24":2,"d00":2,"d08":2,"d14":3,"d13":2};
OFA-1-082213-1;2023-11-29;TOBN;TMOL;0;20;200;1;{"d13":1};
OFA-1-081961-1;2023-11-30;TAGE;TJHE;0;20;1;2;{"d13":2};
OFA-1-082059-1;2023-12-01;N/A;SSE;2;60;426;0;;
OFA-1-082307-1;2023-12-04;MDE;TLBL;0;20;87;1;{"d26":1};
OFA-1-082115-1;2023-12-06;N/A;TFAM;0;70;641;0;;
OFA-1-082213-1;2023-12-07;TYBO;TFAM;0;80;41;1;{"d13":1};
OFA-1-082210-1;2023-12-07;N/A;SFO;2;80;302;3;{"d00":3};lamage abimée 
OFA-1-082314-1;2023-12-08;ESI;TJHE;0;20;37;0;;
OFA-1-082316-1;2023-12-11;N/A;SFO;2;90;940;0;;
OFA-1-082193-1;2023-12-12;N/A;TMSZ;1;60;581;29;{"d25":29};
OFA-1-082356-1;2023-12-13;N/A;SSE;2;50;935;0;;
OFA-1-082193-1;2023-12-14;N/A;SSE;2;100;567;0;;
OFA-1-082115-1;2023-12-14;TAHE;TBGO;1;80;99;2;{"d03":2};
OFA-1-082115-1;2023-12-15;N/A;SFO;2;90;502;0;;
OFA-1-082355-1;2023-12-18;N/A;TLBL;0;20;40;0;;
OFA-1-082400-1;2023-12-19;N/A;TCGR;0;20;116;0;;
OFA-1-082312-1;2023-12-20;N/A;TMSZ;1;70;993;0;;
OFA-1-082312-1;2023-12-21;N/A;SFO;2;80;88;6;{"d26":2,"d13":3,"d20":1};
OFA-1-082195-1;2023-12-22;N/A;TMSZ;2;70;823;0;;
OFA-1-082311-2;2024-01-09;N/A;SSE;2;60;254;0;;
OFA-1-082608-1;2024-01-15;TAMA;TJHE;0;20;55;1;{"d26":1};
OFA-1-084357-1;2024-05-28;N/A;TMSZ;1;100;56;1;{"d26":1};
OFA-1-082493-1;2024-01-16;MDE;TMSZ;1;20;15;0;;
OFA-1-082493-1;2024-01-17;N/A;TFAM;0;20;26;0;;
OFA-1-082653-1;2024-01-17;TDSO;TMSZ;1;20;99;1;{"d26":1};
OFA-1-082493-1;2024-01-19;TMAL;TLBL;0;20;92;2;{"d13":1,"d22":1};
OFA-1-083885-1;2024-05-28;N/A;TLBL;1;100;32;0;;
OFA-1-083878-1;2024-05-30;N/A;SFO;2;100;30;1;{"d24":1};
OFA-1-083499-1;2024-05-31;TOBN;TEBU;0;20;98;2;{"d13":2};
OFA-1-082485-1;2024-01-13;LVA;TFMA;0;20;93;0;;
OFA-1-084219-1;2024-06-26;N/A;TMSH;1;100;44;0;;
OFA-1-084831-1;2024-06-29;TMLA;TEBU;3;20;1;39;{"d14":39};
OFA-1-082654-1;2024-01-24;N/A;TJHE;0;50;1127;1;{"d15":1};
OFA-1-082673-1;2024-01-24;N/A;TBGO;1;70;1004;0;;
OFA-1-082695-3;2024-01-26;N/A;TJHE;0;50;192;0;;
OFA-1-084487-1;2024-06-03;N/A;VBO;2;100;131;7;{"d00":7};
OFA-1-084281-1;2024-06-06;LVA;TMSZ;1;100;144;0;;
OFA-1-084288-1;2024-06-07;TSHU;TMOL;1;100;40;3;{"d07":1,"d10":2};
OFA-1-082753-1;2024-01-26;N/A;TLBL;1;20;45;0;;
OFA-1-082753-1;2024-01-29;MAF;TJHE;0;20;39;0;;
OFA-1-082492-1;2024-01-08;N/A;TBGO;1;100;74;0;;
OFA-1-082484-1;2024-01-10;TOBN;TMSZ;1;100;71;0;;
OFA-1-082674-1;2024-02-01;N/A;XXX;2;100;64;0;;
OFA-1-081602-1;2023-10-18;WWW;TJHE;0;40;470;0;;
OFA-1-081680-1;2023-10-19;N/A;TJHE;0;50;882;0;;
OFA-1-081371-1;2023-10-20;N/A;SFO;2;100;245;0;;
OFA-1-081677-1;2023-10-21;N/A;TJHE;0;40;547;0;;
OFA-1-081155-1;2023-10-23;WWW;TMSH;0;20;113;0;;
OFA-1-081505-1;2023-10-24;TMBO;VBO;2;80;84;12;{"d24":1,"d03":5,"d15":1,"d20":3,"d23":2};
OFA-1-081396-1;2023-10-24;TMBO;TMSZ;1;80;30;0;;
OFA-1-081474-1;2023-10-25;AOU;XXX;2;20;28;1;{"d13":1};POINTAGE-TMOL
OFA-1-081474-1;2023-10-26;N/A;TJHE;0;40;531;0;;
OFA-1-081372-1;2023-10-26;LVA;TMSZ;1;80;72;5;{"d26":2,"d13":2,"d16":1};
OFA-1-081664-1;2023-10-27;N/A;TMSH;2;20;171;0;;
OFA-1-081474-1;2023-10-28;N/A;SSE;2;80;87;7;{"d24":2,"d01":4,"d11":1};
OFA-1-081155-1;2023-10-30;N/A;TJHE;0;40;867;0;;
OFA-1-081157-1;2023-10-31;TLMA;TFMA;0;20;25;0;;
OFA-1-082493-1;2024-01-16;TMAL;TMSZ;1;20;23;0;;
OFA-1-082539-1;2024-01-10;N/A;TFAM;1;20;22;0;;
OFA-1-082668-1;2024-01-11;TYBO;TFAM;1;20;181;2;{"d11":2};
OFA-1-081065-1;2023-11-01;N/A;TLBL;1;20;23;0;;
OFA-1-081957-1;2023-11-02;N/A;TMSH;1;20;39;0;;
OFA-1-081602-1;2023-11-03;N/A;VBO;2;80;181;8;{"d24":4,"d03":3,"d15":1};
OFA-1-081866-1;2023-11-06;N/A;TJHE;0;30;379;0;;
OFA-1-081747-1;2023-11-07;N/A;TLBL;0;20;34;0;;
OFA-1-081872-1;2023-11-08;N/A;TCGR;0;20;77;0;;
OFA-1-081851-1;2023-11-09;TAHE;TMSZ;0;80;112;3;{"d10":1,"d16":2};
OFA-1-081950-1;2023-11-10;N/A;TMSZ;0;50;943;0;;
OFA-1-081950-1;2023-11-13;N/A;SFO;2;100;895;0;;
OFA-1-081747-1;2023-11-13;N/A;TMSZ;1;70;857;0;;
OFA-1-081747-1;2023-11-14;N/A;SSE;2;100;836;0;;
OFA-1-081381-1;2023-11-14;TMAL;TMSZ;1;80;60;3;{"d26":1,"d13":2};
OFA-1-081972-1;2023-11-15;THKI;TCGR;1;20;237;2;{"d02":1,"d15":1};
OFA-1-082144-1;2023-11-16;N/A;TLBL;1;20;102;0;;
OFA-1-082058-1;2023-11-17;TNAN;TCGR;1;20;148;2;{"d06":1,"d10":1};
OFA-1-081188-1;2023-11-20;N/A;VBO;2;100;375;0;;
OFA-1-082058-1;2023-11-21;N/A;TFAM;0;70;894;0;;
OFA-1-082008-1;2023-11-21;LVA;TTMI;1;20;6;0;;
OFA-1-082113-1;2023-11-22;N/A;TJHE;0;20;26;0;;
OFA-1-082003-1;2023-11-23;N/A;TCGR;0;20;58;0;;
OFA-1-082113-1;2023-11-23;N/A;TFMA;1;50;478;0;;
OFA-1-081157-1;2023-11-24;TOBN;TMSZ;1;80;178;9;{"d00":4,"d14":3,"d13":2};CHANFREIN
OFA-1-082200-1;2023-11-27;N/A;TJHE;0;30;974;0;;
OFA-1-082398-1;2024-01-13;N/A;TFMA;0;60;94;14;{"d25":14};
OFA-1-082210-1;2023-11-29;N/A;TMSH;1;30;975;0;;
OFA-1-082200-1;2023-11-28;TAMA;TFAM;1;80;166;19;{"d00":1,"d11":5,"d14":9,"d13":4};pcs tachée
OFA-1-081961-1;2023-11-30;TAGE;TMOL;0;20;120;2;{"d26":1,"d19":1};
OFA-1-082115-1;2023-12-01;KOU;TTMI;0;20;60;0;;
OFA-1-082307-1;2023-12-04;MDE;TCGR;0;20;89;1;{"d11":1};
OFA-1-081337-1;2023-12-06;N/A;TFAM;0;70;176;0;;
OFA-1-082213-1;2023-12-07;N/A;SFO;2;80;26;0;;
OFA-1-082210-1;2023-12-07;N/A;VBO;2;80;219;0;;
OFA-1-082115-1;2023-12-08;N/A;SSE;2;80;127;3;{"d10":3};
OFA-1-082316-1;2023-12-11;N/A;SFO;2;100;940;0;;
OFA-1-082115-1;2023-12-12;N/A;SFO;2;80;5;1;{"d26":1};
OFA-1-082356-1;2023-12-13;N/A;SSE;2;60;935;0;;
OFA-1-082115-1;2023-12-13;N/A;VBO;2;80;52;1;{"d26":1};
OFA-1-082401-1;2023-12-14;N/A;TCGR;1;20;120;0;;
OFA-1-082142-1;2023-12-18;N/A;TLBL;0;20;107;0;;
OFA-1-082197-1;2023-12-19;N/A;TLBL;0;20;14;0;;
OFA-1-082197-1;2023-12-21;WWW;TCGR;0;20;99;0;;
OFA-1-082484-1;2023-12-22;N/A;TCGR;0;20;40;0;;
OFA-1-082484-1;2024-01-09;N/A;SFO;2;70;1023;0;;
OFA-1-082608-1;2024-01-15;TSDJ;TLBL;0;20;58;2;{"d26":2};
OFA-1-082608-1;2024-01-16;TMRS;TJHE;0;20;23;1;{"d13":1};
OFA-1-082656-1;2024-01-17;N/A;TMSH;0;20;118;0;;
OFA-1-082653-1;2024-01-17;TYBO;TMSZ;1;20;24;0;;
OFA-1-082653-1;2024-01-19;N/A;TCGR;0;50;969;0;;
OFA-1-081871-1;2024-01-23;N/A;TTMI;1;40;643;0;;
